# {"t_start": 1745880912.9088664, "env_id": "Office-single-v0"} 
r,l,t
0.0,57,0.001005
0.0,7,0.001139
0.0,55,0.001848
0.0,16,0.002099
0.0,2,0.002154
0.0,10,0.002306
0.0,15,0.002511
0.0,16,0.002754
0.0,8,0.002876
0.0,28,0.003247
0.0,45,0.003898
0.0,23,0.004253
0.0,56,0.005034
0.0,22,0.005331
0.0,26,0.005671
0.0,39,0.006185
0.0,123,0.007732
0.0,110,0.009135
0.0,17,0.009391
0.0,92,0.010661
0.0,31,0.011099
0.0,28,0.011466
0.0,92,0.012596
0.0,51,0.013263
0.0,15,0.013508
0.0,37,0.014002
0.0,71,0.014952
0.0,61,0.015716
0.0,79,0.016732
0.0,78,0.017712
0.0,78,0.018677
0.0,36,0.019143
0.0,26,0.019487
0.0,46,0.020068
0.0,40,0.020569
0.0,73,0.021486
0.0,258,0.024711
0.0,115,0.026179
0.0,78,0.027198
0.0,99,0.028439
0.0,28,0.028812
0.0,8,0.028933
0.0,52,0.029612
0.0,70,0.030526
0.0,79,0.031574
0.0,70,0.032457
0.0,81,0.03352
0.0,48,0.034196
0.0,10,0.034348
0.0,124,0.035894
0.0,55,0.036602
0.0,65,0.037437
0.0,80,0.038455
0.0,60,0.03925
0.0,60,0.040021
0.0,34,0.040462
0.0,150,0.042309
0.0,77,0.043333
0.0,6,0.043437
0.0,168,0.045601
0.0,12,0.045794
0.0,172,0.047873
0.0,174,0.049986
0.0,431,0.05539
1.0,153,0.057334
0.0,2,0.05739
0.0,146,0.059258
0.0,36,0.059735
0.0,40,0.060284
0.0,58,0.061036
0.0,15,0.06126
0.0,39,0.061763
0.0,46,0.062401
0.0,42,0.062951
0.0,90,0.064122
0.0,41,0.064647
0.0,89,0.065781
0.0,191,0.068121
0.0,73,0.069042
0.0,57,0.069762
0.0,23,0.07008
0.0,22,0.070382
0.0,120,0.072029
0.0,31,0.072465
1.0,192,0.075015
0.0,44,0.075612
1.0,146,0.077444
0.0,10,0.077603
0.0,128,0.079183
0.0,25,0.079524
1.0,257,0.082714
1.0,214,0.085393
0.0,107,0.086772
0.0,35,0.087244
0.0,200,0.089729
0.0,92,0.090863
0.0,27,0.091236
0.0,54,0.09192
0.0,114,0.093382
0.0,243,0.096405
0.0,254,0.099534
1.0,316,0.103482
0.0,101,0.104855
0.0,5,0.104948
1.0,120,0.106419
0.0,21,0.10671
0.0,113,0.108098
0.0,155,0.110022
1.0,212,0.112921
0.0,115,0.114651
0.0,204,0.117194
0.0,120,0.118727
0.0,25,0.119091
0.0,47,0.119699
0.0,144,0.121585
1.0,178,0.12386
0.0,72,0.124879
0.0,17,0.125141
0.0,167,0.127251
0.0,21,0.127547
1.0,114,0.129
0.0,101,0.130465
0.0,116,0.131958
1.0,384,0.136789
1.0,220,0.139565
1.0,271,0.143175
0.0,47,0.14379
0.0,18,0.144157
0.0,281,0.147709
0.0,19,0.148005
0.0,209,0.150638
0.0,67,0.151514
0.0,4,0.151594
0.0,78,0.152634
0.0,41,0.153195
0.0,85,0.154325
0.0,31,0.154752
0.0,38,0.155285
0.0,48,0.155941
0.0,32,0.156384
1.0,125,0.157996
1.0,221,0.160816
1.0,153,0.1628
1.0,203,0.165498
0.0,207,0.168175
0.0,41,0.168735
1.0,189,0.171156
0.0,195,0.173627
0.0,21,0.173928
1.0,85,0.175071
0.0,93,0.176286
1.0,229,0.179197
0.0,7,0.17932
0.0,22,0.179623
0.0,39,0.180151
1.0,191,0.182584
0.0,53,0.183302
0.0,33,0.183743
0.0,72,0.184727
0.0,45,0.185335
0.0,63,0.186169
1.0,189,0.188508
0.0,27,0.188873
0.0,154,0.190807
0.0,4,0.190887
0.0,201,0.193442
0.0,76,0.194515
0.0,9,0.194662
1.0,208,0.197302
0.0,53,0.198007
0.0,8,0.198142
1.0,334,0.202342
0.0,112,0.203767
0.0,64,0.204647
0.0,47,0.205285
0.0,162,0.207319
0.0,15,0.207545
0.0,10,0.207702
0.0,10,0.207852
0.0,107,0.209203
1.0,116,0.210651
0.0,35,0.211129
0.0,45,0.211703
0.0,14,0.211902
0.0,4,0.211989
1.0,356,0.21647
0.0,61,0.217254
0.0,66,0.218099
0.0,36,0.218566
0.0,11,0.218725
1.0,209,0.221323
0.0,398,0.226279
0.0,145,0.228089
1.0,188,0.230398
1.0,217,0.233084
0.0,33,0.233526
0.0,147,0.235493
0.0,98,0.236731
