episodes,mean 100 episode reward,prob_satisfiability,steps
10,-631.9,0.0,8999
20,-538.6,0.0,18999
30,-479.9,0.0,28999
40,-422.9,0.0,38999
50,-407.6,0.0,48999
60,-398.0,0.0,58999
70,-368.2,0.0,68999
80,-349.4,0.0,78999
90,-351.3,0.0,88999
100,-351.3,0.0,98999
110,-328.4,0.0,108999
120,-339.7,0.0,118999
130,-339.3,0.0,128999
140,-361.2,0.0,138999
150,-375.1,0.0,148999
160,-374.4,0.0,158999
170,-378.2,0.0,168999
180,-383.6,0.0,178999
190,-376.0,0.0,188999
200,-364.3,0.0,198999
210,-362.4,0.0,208999
220,-327.8,0.0,218999
