# {"t_start": 1621263914.9013138, "env_id": "Fetch-M2-v0"} 
r,l,t
-569.827128,1000,17.86489
-923.940214,1000,36.217049
-1118.612114,1000,96.168009
-877.644942,1000,108.920353
-59.326202,1000,165.453616
-1275.634874,1000,179.922395
-1249.937432,1000,239.954707
-996.445607,1000,255.280303
-1056.247556,1000,323.32396
-1272.219004,1000,336.518496
-1094.854334,1000,399.825849
-1074.794956,1000,413.243236
-1029.819822,1000,476.99049
-589.227943,1000,488.772109
-613.325867,1000,540.390814
-639.085249,1000,553.953599
-760.347191,1000,607.607711
-663.207553,1000,620.230925
-565.426468,1000,675.354569
-850.488461,1000,689.29444
-716.750758,1000,742.232208
-816.322845,1000,755.767127
-578.804824,1000,804.494882
-615.559798,1000,815.576883
-530.118924,1000,871.24994
-748.594776,1000,882.962851
-358.335822,1000,935.460669
-698.377716,1000,949.23376
-556.408366,1000,1001.962619
-440.437833,1000,1014.080404
-577.308153,1000,1068.09656
-602.120832,1000,1080.568093
-393.704096,1000,1138.559175
-245.308482,1000,1152.605221
-176.83041,1000,1214.582895
-770.985746,1000,1226.333501
-130.975941,1000,1279.495973
-101.605003,1000,1294.046593
-391.14334,1000,1352.491091
-257.635866,1000,1364.549168
-129.211676,1000,1422.761862
-263.825895,1000,1437.544761
-324.166612,1000,1492.819745
-338.766188,1000,1506.086793
-445.807676,1000,1557.476427
-267.38314,1000,1570.556982
-337.4888,1000,1622.930737
-141.598839,1000,1637.681682
-317.358231,1000,1693.234743
-45.429013,1000,1708.050854
-186.737238,1000,1765.951174
-207.849449,1000,1779.322906
-198.952523,1000,1833.928859
-224.157066,1000,1845.256002
-347.846641,1000,1900.914482
-145.261136,1000,1914.766755
-170.82588,1000,1970.403161
-357.778969,1000,1984.109948
-265.420995,1000,2045.91688
-332.678596,1000,2059.103074
-367.271366,1000,2112.873589
-168.613432,1000,2124.236916
-184.479386,1000,2177.191962
-186.780482,1000,2188.836414
-227.069858,1000,2243.403246
-351.153103,1000,2256.818691
-325.750177,1000,2317.957674
-718.756471,1000,2332.01438
-303.890508,1000,2392.431721
-88.218181,1000,2405.962216
-631.83999,1000,2468.115306
-318.971128,1000,2480.437967
-564.670481,1000,2540.98095
-243.892454,1000,2553.74082
-343.909042,1000,2611.923157
-188.448999,1000,2624.894562
-242.511414,1000,2687.222282
-97.172968,1000,2700.420331
-454.622231,1000,2758.153636
-215.9764,1000,2772.703842
-123.581914,1000,2832.832894
-398.042457,1000,2846.100209
-367.013298,1000,2908.992413
-65.912044,1000,2923.102134
-153.266459,1000,2984.294672
-81.613639,1000,2998.97881
-123.461328,1000,3059.786236
-111.586106,1000,3074.385915
-54.26081,1000,3138.713039
-437.345649,1000,3151.753645
-683.084336,1000,3219.968125
-223.284928,1000,3233.816502
-166.454852,1000,3303.071675
-144.572826,1000,3316.853989
-269.209838,1000,3377.969638
-106.375378,1000,3394.001542
-81.260052,1000,3455.120956
-278.769658,1000,3469.781849
-114.820282,1000,3537.892992
-301.461179,1000,3552.70904
-96.102632,1000,3629.251125
-116.212828,1000,3644.73465
-410.181826,1000,3718.21472
-216.714209,1000,3736.340492
-519.150941,1000,3805.807537
-47.555616,1000,3822.694711
-80.270037,1000,3891.514393
-187.564441,1000,3909.483784
-85.189466,1000,3980.805286
-121.753979,1000,3997.386916
-79.924756,1000,4066.625705
-142.877314,1000,4082.525954
-225.390227,1000,4153.023003
-202.712897,1000,4169.437093
-125.289112,1000,4239.392816
-89.759922,1000,4256.085698
-145.712274,1000,4331.120041
-57.489351,1000,4348.819117
-511.565407,1000,4428.191595
-414.351367,1000,4442.375005
-66.050857,1000,4512.055046
-332.238941,1000,4530.294489
-139.123555,1000,4603.340748
-165.106602,1000,4618.564586
-127.737969,1000,4687.869373
-187.94578,1000,4701.268736
-331.156858,1000,4775.805389
-177.803351,1000,4790.503786
-368.881135,1000,4865.919657
-1006.076608,1000,4881.134094
-80.289962,1000,4948.35721
-261.569576,1000,4963.342595
-229.946165,1000,5036.054134
-59.016288,1000,5052.71925
-320.473059,1000,5126.918898
-218.313368,1000,5141.047672
-275.156259,1000,5219.596483
-986.355645,1000,5236.247194
-673.785616,1000,5317.63184
-1016.822796,1000,5331.585865
-1028.766852,1000,5407.390996
-798.39742,1000,5422.346185
-701.878779,1000,5503.518988
-135.58959,1000,5518.113606
-514.451045,1000,5594.921009
-440.816099,1000,5611.037638
-446.729852,1000,5688.459986
-315.176692,1000,5703.041289
-139.360151,1000,5775.51423
-290.800525,1000,5790.304324
-152.125426,1000,5858.232024
-361.921124,1000,5871.809925
-499.541208,1000,5946.597421
-285.607695,1000,5962.397533
-771.189164,1000,6046.414218
-620.126082,1000,6065.059043
-99.287471,1000,6132.571315
-256.627733,1000,6148.914073
-188.914039,1000,6219.077723
-246.289115,1000,6233.880155
-559.439116,1000,6311.410567
-236.972162,1000,6326.466495
-548.880034,1000,6401.345492
-87.816168,1000,6418.182558
-191.753193,1000,6490.1509
-240.989847,1000,6505.816751
-318.002532,1000,6580.403186
-398.699815,1000,6594.25246
-696.443667,1000,6663.814288
-287.999953,1000,6678.836356
-120.50268,1000,6753.417951
-185.41849,1000,6769.359243
-304.544209,1000,6842.202573
-419.064915,1000,6863.228567
-190.151319,1000,6932.958301
-151.564653,1000,6948.440239
-95.399382,1000,7019.372458
-305.396724,1000,7037.259418
-855.396672,1000,7116.788525
-218.734353,1000,7132.502752
-97.22098,1000,7205.712655
-177.58002,1000,7223.318292
-148.722857,1000,7293.212136
-345.413054,1000,7310.483433
-439.137695,1000,7385.086046
-55.652412,1000,7401.391399
-114.770788,1000,7470.666752
-345.945254,1000,7485.579008
-231.756762,1000,7553.709876
-100.585918,1000,7568.331878
-65.538574,1000,7634.786853
-354.231122,1000,7649.231417
-349.896007,1000,7719.820207
-159.674502,1000,7735.677068
-45.604444,1000,7806.178365
-370.884297,1000,7819.9203
-57.359506,1000,7887.132871
-220.787407,1000,7902.838465
-234.147563,1000,7967.142002
-50.426626,1000,7982.135681
-162.04883,1000,8045.63234
-441.191083,1000,8057.971092
-79.559562,1000,8119.508014
-82.855891,1000,8133.813213
-483.477855,1000,8197.071173
-197.795926,1000,8210.877694
-133.434086,1000,8271.405872
-113.115435,1000,8285.515318
-334.774356,1000,8344.354635
-116.0651,1000,8359.0758
-65.494748,1000,8419.911365
-127.816483,1000,8434.961612
-200.669877,1000,8495.788949
-49.320074,1000,8508.612344
-35.485824,1000,8569.177538
-82.293227,1000,8582.704901
-346.142132,1000,8641.138647
-378.870392,1000,8655.615396
-103.038731,1000,8718.398051
-487.810771,1000,8735.359921
