# {"t_start": 1621275653.394527, "env_id": "Fetch-M2-v0"} 
r,l,t
-932.774259,1000,100.981138
-1117.232923,1000,137.286974
-670.300975,1000,169.678308
-696.135764,1000,205.564578
-571.235796,1000,242.656264
-739.111807,1000,280.301872
-518.430003,1000,313.783421
-635.764347,1000,347.026965
-695.259016,1000,382.484464
-1178.214297,1000,929.367078
-787.319024,1000,955.490199
-1067.044821,1000,984.375844
-685.920818,1000,1012.23469
-765.171984,1000,1041.158724
-617.764432,1000,1072.801792
-911.536599,1000,1102.307914
-723.353611,1000,1130.971927
-575.018653,1000,1158.754359
-679.935908,1000,1185.749862
-493.874699,1000,1654.675673
-481.794954,1000,1678.167325
-458.983158,1000,1701.957853
-703.025994,1000,1727.717426
-594.84453,1000,1753.208415
-710.684641,1000,1780.529384
-674.291234,1000,1808.666799
-706.805001,1000,1835.590041
-593.862062,1000,1863.190563
-601.33036,1000,1891.481968
-567.795311,1000,2394.446521
-683.694716,1000,2417.963189
-521.52462,1000,2440.827756
-702.766442,1000,2465.907748
-464.23677,1000,2489.69278
-544.791071,1000,2512.913588
-483.639736,1000,2538.284598
-526.934599,1000,2563.499146
-645.354496,1000,2588.488454
-724.483507,1000,2616.455181
-586.126309,1000,3151.562903
-641.1952,1000,3174.317986
-513.474379,1000,3197.999329
-634.358213,1000,3221.123152
-625.553402,1000,3244.230333
-559.12715,1000,3267.443167
-678.894201,1000,3290.488785
-700.42242,1000,3315.377311
-566.633318,1000,3339.829894
-447.254709,1000,3365.057003
-724.064776,1000,3898.512743
-716.729951,1000,3920.662645
-467.7184,1000,3943.458248
-678.03312,1000,3966.913119
-427.516105,1000,3989.651398
-533.371555,1000,4013.24292
-502.29126,1000,4036.692154
-740.425487,1000,4058.932853
-702.347978,1000,4081.775933
-707.721018,1000,4105.701476
-540.918097,1000,4630.226663
-561.270963,1000,4654.568803
-629.998048,1000,4677.308208
-111.575091,1000,4701.563486
-674.371247,1000,4724.442755
-566.994988,1000,4747.897849
-723.547891,1000,4772.491227
-676.984409,1000,4796.921778
-763.95917,1000,4821.684515
-600.039839,1000,4845.56091
-661.364288,1000,5432.801033
-568.878231,1000,5456.291875
-559.308139,1000,5480.999528
-673.086554,1000,5505.780501
-956.254462,1000,5529.494184
-1072.824743,1000,5552.192135
-684.784041,1000,5574.536322
-744.91722,1000,5595.597858
-709.909839,1000,5617.489632
-736.087023,1000,5639.229465
-713.138506,1000,6211.548745
-771.397046,1000,6234.055332
-553.259353,1000,6256.905623
-564.598414,1000,6280.7368
-473.11306,1000,6303.845167
-639.997606,1000,6326.690059
-753.45013,1000,6349.451907
-563.461955,1000,6373.277851
-1319.808958,1000,6396.562974
-1348.277605,1000,6421.427192
-1148.705675,1000,6982.692461
-1320.62934,1000,7007.243564
-1015.073275,1000,7031.191967
-757.690908,1000,7055.799914
-624.282633,1000,7079.401017
-563.166787,1000,7104.233512
-755.499724,1000,7129.496659
-629.692606,1000,7154.140213
-731.496194,1000,7179.486692
-658.05071,1000,7205.514309
-752.411146,1000,7763.436889
-712.024515,1000,7786.810211
-708.569423,1000,7810.193801
-770.751651,1000,7833.601656
-609.447752,1000,7857.04415
-744.666008,1000,7881.306752
-681.046372,1000,7905.875571
-974.852508,1000,7930.829267
-545.814317,1000,7955.967387
-731.057816,1000,7982.331656
-1304.607968,1000,8539.773598
-1147.100865,1000,8562.614517
-782.858194,1000,8585.782999
-419.274214,1000,8607.362787
-687.817543,1000,8627.533261
-747.500323,1000,8650.386591
-560.918057,1000,8674.751821
-698.494863,1000,8700.015925
-776.290789,1000,8725.686623
