# {"t_start": 1621263907.8995676, "env_id": "Fetch-M3-v0"} 
r,l,t
-979.813715,1000,13.113682
-628.822352,1000,22.981282
-624.576262,1000,64.757437
-723.329398,1000,74.511241
-563.706804,1000,119.584688
-579.313759,1000,129.579275
-792.162696,1000,175.1735
-609.837431,1000,185.366096
-546.113474,1000,232.651909
-500.30896,1000,242.240826
-712.158167,1000,286.311721
-745.120245,1000,295.713812
-787.227114,1000,341.050928
-780.33378,1000,352.233835
-698.66971,1000,396.529961
-714.512105,1000,406.227182
-521.333304,1000,451.727061
-810.112469,1000,460.770108
-748.150053,1000,504.307255
-560.084544,1000,514.383991
-653.700518,1000,557.405833
-669.710428,1000,566.731319
-624.494524,1000,610.766766
-775.799726,1000,620.721722
-708.376225,1000,665.865421
-591.591818,1000,674.894895
-739.555342,1000,719.471899
-582.071001,1000,728.965837
-745.041347,1000,772.806984
-581.541704,1000,783.382578
-764.721297,1000,830.345879
-733.037935,1000,840.653912
-647.017502,1000,889.763936
-480.712059,1000,899.022421
-652.827454,1000,944.544035
-709.45118,1000,953.66918
-502.142802,1000,997.427151
-703.958228,1000,1006.353582
-724.702581,1000,1049.890026
-532.412951,1000,1058.873895
-574.879653,1000,1103.223331
-474.139112,1000,1112.746247
-541.694263,1000,1157.863027
-440.881835,1000,1167.663543
-531.612984,1000,1211.536734
-503.078618,1000,1221.258147
-436.886287,1000,1267.114866
-446.45768,1000,1276.305257
-698.661531,1000,1321.429845
-524.743397,1000,1331.643523
-705.873944,1000,1375.292869
-525.868991,1000,1385.158227
-560.682038,1000,1428.848096
-495.254484,1000,1438.953835
-758.225148,1000,1482.904138
-719.909887,1000,1492.258165
-600.909594,1000,1537.759788
-589.687743,1000,1546.925376
-691.653035,1000,1590.879547
-561.61776,1000,1600.369519
-769.344979,1000,1649.595956
-641.243436,1000,1659.116061
-530.623796,1000,1706.186203
-522.994406,1000,1715.807646
-481.789233,1000,1761.815736
-464.460746,1000,1771.936785
-443.96805,1000,1814.351039
-628.544644,1000,1824.846686
-606.448421,1000,1870.959162
-711.894719,1000,1881.044947
-631.357637,1000,1926.618027
-550.459929,1000,1936.172576
-445.283081,1000,1981.414832
-214.036026,1000,1991.422014
-431.396567,1000,2047.021777
-669.473106,1000,2056.043933
-740.206595,1000,2103.684008
-539.104559,1000,2113.133483
-622.715016,1000,2158.664789
-464.349481,1000,2168.0175
-721.121285,1000,2211.844457
-663.500335,1000,2222.460579
-522.381048,1000,2267.141141
-426.067951,1000,2277.632305
-705.002188,1000,2321.843524
-730.989924,1000,2332.023843
-580.96459,1000,2376.674512
-604.23909,1000,2386.967584
-460.384429,1000,2433.225136
-457.512337,1000,2444.192597
-687.752202,1000,2488.611291
-656.205746,1000,2499.312247
-633.850489,1000,2545.208536
-670.678302,1000,2555.1923
-710.914599,1000,2599.20034
-454.045363,1000,2609.867829
-645.172811,1000,2659.745337
-440.830451,1000,2671.322995
-716.175021,1000,2716.401676
-686.73892,1000,2725.756747
-664.755184,1000,2771.620224
-714.647463,1000,2781.589145
-732.885101,1000,2827.266918
-412.391308,1000,2837.387845
-502.912332,1000,2885.592388
-686.911771,1000,2895.783381
-653.876357,1000,2940.726562
-557.070575,1000,2951.049341
-528.515371,1000,2994.917853
-579.358232,1000,3005.346937
-556.266711,1000,3052.105058
-421.722259,1000,3061.957222
-690.601391,1000,3107.700527
-665.215825,1000,3117.511568
-594.720463,1000,3163.428598
-511.522353,1000,3173.696798
-679.006861,1000,3217.095883
-535.006435,1000,3227.29882
-546.738312,1000,3277.174298
-614.158915,1000,3289.593119
-598.328486,1000,3340.627212
-631.141464,1000,3349.85003
-681.918073,1000,3396.041011
-706.52681,1000,3406.072164
-460.75033,1000,3449.115623
-439.525312,1000,3459.458929
-594.564187,1000,3503.721886
-425.817545,1000,3516.173522
-603.657979,1000,3568.570518
-546.662554,1000,3579.737746
-631.052701,1000,3636.31833
-547.007981,1000,3647.55999
-431.122095,1000,3699.99014
-265.502415,1000,3711.117648
-679.138008,1000,3761.113933
-684.287059,1000,3773.223575
-446.706117,1000,3827.725642
-683.191975,1000,3838.847424
-449.88382,1000,3889.758264
-460.857966,1000,3900.6507
