# {"t_start": 1621275678.4613445, "env_id": "Fetch-M3-v0"} 
r,l,t
-1044.516044,1000,106.19332
-947.297029,1000,138.831099
-580.018501,1000,170.904798
-1147.319651,1000,208.801685
-574.10848,1000,247.192438
-1129.231287,1000,284.096117
-1202.116401,1000,319.442551
-1140.497694,1000,359.505883
-102.269332,1000,391.392821
-1234.789593,1000,971.717822
-1307.716004,1000,1003.956542
-1198.350591,1000,1036.637882
-1202.746585,1000,1069.145426
-721.33637,1000,1101.449731
-592.017038,1000,1133.06312
-594.067202,1000,1163.43633
-632.87191,1000,1191.560205
-468.2891,1000,1221.531239
-148.602113,1000,1248.131301
-471.231398,1000,1768.737076
-655.158155,1000,1798.914858
-554.878663,1000,1829.399546
-744.885549,1000,1860.08843
-205.170857,1000,1890.162118
-724.472798,1000,1918.657626
-733.254456,1000,1947.774233
-789.453272,1000,1976.655182
-1121.946359,1000,2010.357687
-723.110909,1000,2036.400594
-594.676958,1000,2596.422771
-746.361806,1000,2625.149357
-925.455785,1000,2654.27097
-690.559759,1000,2684.265566
-776.860064,1000,2712.126716
-686.758066,1000,2740.574399
-909.589242,1000,2768.03777
-589.776296,1000,2793.963356
-596.551543,1000,2820.503883
-593.922165,1000,2846.141911
-718.387734,1000,3416.986626
-474.070558,1000,3442.902609
-560.166017,1000,3470.11324
-105.504348,1000,3497.822151
-590.203011,1000,3523.170153
-792.707606,1000,3554.103503
-988.333331,1000,3581.131158
-951.576045,1000,3609.937954
-1025.764341,1000,3636.602413
-878.805188,1000,3663.602844
-882.014297,1000,4221.132515
-1068.795166,1000,4247.060789
-1044.664004,1000,4279.267969
-521.430339,1000,4305.318016
-747.280466,1000,4337.306504
-559.455398,1000,4364.354528
-815.323533,1000,4390.640926
-704.482673,1000,4420.629135
-968.283702,1000,4447.938822
-922.185436,1000,4478.692879
-772.651516,1000,5029.937055
-584.13671,1000,5056.983144
-774.087662,1000,5084.99028
-677.222479,1000,5111.863823
-232.450621,1000,5137.833353
-671.557738,1000,5166.466639
-947.920224,1000,5194.180454
-334.06639,1000,5220.162347
-572.801699,1000,5253.485308
-537.964624,1000,5280.158368
-1106.193836,1000,5817.313557
-187.925083,1000,5847.267658
-278.839579,1000,5876.228485
-71.452345,1000,5902.794718
-511.200409,1000,5934.796173
-641.920428,1000,5961.614207
-906.317323,1000,5988.354467
-971.850768,1000,6014.649739
-529.992128,1000,6040.697544
-659.432463,1000,6067.356064
-515.232157,1000,6606.937456
-889.317406,1000,6634.063572
-609.072155,1000,6665.301705
-661.407809,1000,6689.507019
-623.398939,1000,6716.608467
-752.870879,1000,6740.417115
-1030.615211,1000,6763.304534
-942.680793,1000,6786.074101
-972.363905,1000,6814.36465
-723.213352,1000,6839.855811
-900.98042,1000,7292.062958
-1028.506819,1000,7319.481187
-968.834494,1000,7348.17998
-1194.646054,1000,7375.744886
-1024.936711,1000,7402.308009
-778.234342,1000,7429.246439
-940.888866,1000,7455.19211
-1005.595239,1000,7480.061553
-894.463911,1000,7504.749406
-689.432678,1000,7530.531775
-652.558676,1000,8038.916852
