episodes,mean 100 episode reward,prob_satisfiability,steps
10,-710.4,0.0,8999
20,-733.1,0.0,18999
30,-693.6,0.0,28999
40,-666.9,0.0,38999
50,-640.0,0.0,48999
60,-602.9,0.0,58999
70,-648.8,0.0,68999
80,-667.9,0.0,78999
90,-654.3,0.0,88999
100,-631.0,0.0,98999
110,-623.4,0.0,108999
120,-618.8,0.0,118999
130,-637.3,0.0,128999
140,-670.0,0.0,138999
150,-700.2,0.0,148999
160,-729.2,0.0,158999
170,-712.8,0.0,168999
180,-713.0,0.0,178999
190,-732.1,0.0,188999
200,-753.2,0.0,198999
210,-733.8,0.0,208999
220,-715.6,0.0,218999
230,-700.1,0.0,228999
240,-688.2,0.0,238999
250,-696.6,0.0,248999
260,-717.4,0.0,258999
270,-702.6,0.0,268999
280,-687.2,0.0,278999
290,-679.1,0.0,288999
300,-702.2,0.0,298999
310,-714.1,0.0,308999
320,-723.0,0.0,318999
330,-719.8,0.0,328999
340,-695.6,0.0,338999
350,-636.5,0.0,348999
360,-603.7,0.0,358999
370,-586.4,0.0,368999
380,-571.8,0.0,378999
390,-550.7,0.0,388999
400,-517.7,0.0,398999
410,-496.3,0.0,408999
420,-463.9,0.0,418999
